[11:23:08]: [Join Announcement] GMC6
[12:03:32]: [Announcement] World(Cave) Cleaning —『 The trees come up to my window like the yearning voice of the dumb earth.(Stray Birds-Ranbindranath Tagore)』
[12:03:46]: [Announcement] World(Forest) Cleaning —『 Never be afraid of the moments--thus sings the voice of the everlasting(Stray Birds-Ranbindranath Tagore)』
[12:24:50]: [Leave Announcement] GMC6
[12:26:47]: [Join Announcement] GMC6
[12:27:28]: [Leave Announcement] GMC6
[12:28:34]: [Join Announcement] GMC6
[12:47:32]: [Announcement] World(Cave) Cleaning —『 The mind, sharp but not broad, sticks at every point but does not move.(Stray Birds-Ranbindranath Tagore)』
[12:47:50]: [Announcement] World(Forest) Cleaning —『 It is the tears of the earth that keep here smiles in bloom. (Stray Birds-Ranbindranath Tagore)』
[12:58:35]: [Announcement] Performance Pack: Server cleaning
[13:27:39]: [Announcement] World(Cave) Cleaning —『 The mist, like love, plays upon the heart of the hills and brings out surprises of beauty.(Stray Birds-Ranbindranath Tagore)』
[13:28:00]: [Announcement] World(Forest) Cleaning —『 The stars are not afraid to appear like fireflies.(Stray Birds-Ranbindranath Tagore)』
[13:49:52]: [Announcement] GMC6   befriended Bunnymen 20 times   Completed Achievement [Bunny Leader]
[14:07:46]: [Announcement] World(Cave) Cleaning —『 You smiled and talked to me of nothing and I felt that for this I had been waiting long.(Stray Birds-Ranbindranath Tagore)』
[14:08:13]: [Announcement] World(Forest) Cleaning —『 I cannot choose the best. The best chooses me.(Stray Birds-Ranbindranath Tagore)』
[14:13:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:17:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
