[11:23:09]: [Join Announcement] GMC6
[12:03:33]: [Announcement] World(Cave) Cleaning —『 The trees come up to my window like the yearning voice of the dumb earth.(Stray Birds-Ranbindranath Tagore)』
[12:03:47]: [Announcement] World(Forest) Cleaning —『 Never be afraid of the moments--thus sings the voice of the everlasting(Stray Birds-Ranbindranath Tagore)』
[12:24:51]: [Leave Announcement] GMC6
[12:26:48]: [Join Announcement] GMC6
[12:27:29]: [Leave Announcement] GMC6
[12:28:35]: [Join Announcement] GMC6
[12:47:33]: [Announcement] World(Cave) Cleaning —『 The mind, sharp but not broad, sticks at every point but does not move.(Stray Birds-Ranbindranath Tagore)』
[12:47:51]: [Announcement] World(Forest) Cleaning —『 It is the tears of the earth that keep here smiles in bloom. (Stray Birds-Ranbindranath Tagore)』
[12:58:36]: [Announcement] Performance Pack: Server cleaning
[13:27:40]: [Announcement] World(Cave) Cleaning —『 The mist, like love, plays upon the heart of the hills and brings out surprises of beauty.(Stray Birds-Ranbindranath Tagore)』
[13:28:01]: [Announcement] World(Forest) Cleaning —『 The stars are not afraid to appear like fireflies.(Stray Birds-Ranbindranath Tagore)』
[13:49:53]: [Announcement] GMC6   befriended Bunnymen 20 times   Completed Achievement [Bunny Leader]
[14:07:47]: [Announcement] World(Cave) Cleaning —『 You smiled and talked to me of nothing and I felt that for this I had been waiting long.(Stray Birds-Ranbindranath Tagore)』
[14:08:14]: [Announcement] World(Forest) Cleaning —『 I cannot choose the best. The best chooses me.(Stray Birds-Ranbindranath Tagore)』
[14:13:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[14:16:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
