[00:51:25]: [Join Announcement] GMC6
[00:51:53]: [Announcement] GMC6   has a Krampus Sack   Completed Achievement [Top 1%]
[00:55:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:55:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:33]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:34]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:35]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:36]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:37]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:45]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:46]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:56:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:57:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
