[00:57:35]: [Join Announcement] ứng ngọc sơn
[00:58:49]: [Announcement] ứng ngọc sơn   successfully entered game   Completed Achievement [New Beginning]
[00:58:49]: [Announcement] ứng ngọc sơn got 0 Achievement point from Initial Stars Configuration
[01:03:48]: [Announcement] ứng ngọc sơn   Equiped skinned item   Completed Achievement [Pay to Win]
[01:05:02]: [Leave Announcement] ứng ngọc sơn
[02:00:07]: [Join Announcement] Veio da Manga
[02:00:21]: [Announcement] Veio da Manga got 0 Achievement point from Initial Stars Configuration
[02:05:40]: [Announcement] Veio da Manga   transformed chester into a freezer   Completed Achievement [Cool Guy]
[02:05:54]: [Announcement] Veio da Manga   has a Krampus Sack   Completed Achievement [Top 1%]
[02:07:40]: [Announcement] Veio da Manga   has 5 red, green and blue Spores   Completed Achievement [Fungus Catchus]
[02:27:44]: [Announcement] Veio da Manga   murdered Glommer   Completed Achievement [First Blood]
[02:33:57]: [Announcement] World(Cave) Cleaning —『 Man is a born child, his power is the power of growth.(Stray Birds-Ranbindranath Tagore)』
[02:34:12]: [Announcement] World(Forest) Cleaning —『 The trees come up to my window like the yearning voice of the dumb earth.(Stray Birds-Ranbindranath Tagore)』
[02:34:58]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:34:59]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:00]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:01]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:02]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:03]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:04]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:05]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:06]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:07]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:11]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:12]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:13]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
[02:35:14]: [Announcement] Veio da Manga got 1 Achievement point from Yellow Jelly Bean
