[00:08:00]: [Join Announcement] GMC6
[00:08:25]: [Announcement] GMC6   has a Krampus Sack   Completed Achievement [Top 1%]
[00:08:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:38]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:39]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:40]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:41]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:42]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:43]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:44]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:47]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:48]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:49]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:50]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:51]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:52]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:53]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:54]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:55]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:56]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:57]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:58]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:08:59]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:00]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:01]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:02]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:03]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:04]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:05]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:06]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:07]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:08]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:09]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:10]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:11]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:12]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:13]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:14]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:15]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:16]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:17]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:18]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:19]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:20]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:21]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:22]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:23]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:24]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:25]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:26]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:27]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:28]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:29]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:30]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:31]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
[00:09:32]: [Announcement] GMC6 got 1 Achievement point from Yellow Jelly Bean
